x,y,t,v,angle
35057.2,44785.3,103,348.299,70
35228.2,44751.2,103.5,349.26,70
35399.2,44714.6,104,350.286,70
35570.2,44675.5,104.5,351.378,70
35741.2,44634,105,352.535,70
35912.2,44590.1,105.5,353.756,70
36083.2,44543.7,106,355.04,70
36254.2,44494.8,106.5,356.387,70
36425.2,44443.5,107,357.797,70
36596.3,44389.7,107.5,359.268,70
36767.3,44333.5,108,360.8,70
36938.3,44274.8,108.5,362.391,70
37109.3,44213.7,109,364.042,70
37280.3,44150.2,109.5,365.751,70
37451.3,44084.1,110,367.518,70
37622.3,44015.6,110.5,369.341,70
37793.3,43944.7,111,371.22,70
37964.3,43871.3,111.5,373.155,70
38135.4,43795.5,112,375.143,70
38306.4,43717.2,112.5,377.185,70
38477.4,43636.5,113,379.279,70
38648.4,43553.3,113.5,381.424,70
38819.4,43467.6,114,383.621,70
38990.4,43379.5,114.5,385.867,70
39161.4,43289,115,388.162,70
39332.4,43196,115.5,390.506,70
39503.4,43100.5,116,392.896,70
39674.4,43002.6,116.5,395.333,70
39845.5,42902.3,117,397.816,70
40016.5,42799.5,117.5,400.343,70
40187.5,42694.2,118,402.914,70
40358.5,42586.5,118.5,405.529,70
40529.5,42476.3,119,408.185,70
40700.5,42363.7,119.5,410.883,70
40871.5,42248.6,120,413.621,70
41042.5,42131.1,120.5,416.399,70
41213.5,42011.1,121,419.216,70
41384.6,41888.7,121.5,422.072,70
41555.6,41763.8,122,424.964,70
41726.6,41636.4,122.5,427.894,70
41897.6,41506.6,123,430.859,70
42068.6,41374.4,123.5,433.86,70
42239.6,41239.7,124,436.895,70
42410.6,41102.6,124.5,439.963,70
42581.6,40963,125,443.065,70
42752.6,40820.9,125.5,446.199,70
42923.6,40676.4,126,449.365,70
43094.7,40529.4,126.5,452.562,70
43265.7,40380,127,455.789,70
43436.7,40228.2,127.5,459.046,70
43607.7,40073.9,128,462.332,70
43778.7,39917.1,128.5,465.647,70
43949.7,39757.9,129,468.989,70
44120.7,39596.2,129.5,472.359,70
44291.7,39432.1,130,475.755,70
44462.7,39265.5,130.5,479.177,70
44633.8,39096.5,131,482.625,70
44804.8,38925,131.5,486.099,70
44975.8,38751,132,489.596,70
45146.8,38574.7,132.5,493.118,70
45317.8,38395.8,133,496.663,70
45488.8,38214.5,133.5,500.231,70
45659.8,38030.8,134,503.821,70
45830.8,37844.6,134.5,507.434,70
46001.8,37655.9,135,511.068,70
46172.9,37464.8,135.5,514.723,70
46343.9,37271.3,136,518.399,70
46514.9,37075.3,136.5,522.095,70
46685.9,36876.8,137,525.811,70
46856.9,36675.9,137.5,529.546,70
47027.9,36472.5,138,533.3,70
47198.9,36266.7,138.5,537.073,70
47369.9,36058.4,139,540.864,70
47540.9,35847.7,139.5,544.672,70
47711.9,35634.5,140,548.498,70
47883,35418.9,140.5,552.341,70
48054,35200.8,141,556.201,70
48225,34980.3,141.5,560.077,70
48396,34757.3,142,563.969,70
48567,34531.9,142.5,567.877,70
48738,34304,143,571.8,70
48909,34073.6,143.5,575.739,70
49080,33840.9,144,579.692,70
49251,33605.6,144.5,583.659,70
49422.1,33367.9,145,587.641,70
49593.1,33127.8,145.5,591.636,70
49764.1,32885.1,146,595.645,70
49935.1,32640.1,146.5,599.668,70
50106.1,32392.6,147,603.703,70
50277.1,32142.6,147.5,607.751,70
50448.1,31890.2,148,611.812,70
50619.1,31635.3,148.5,615.885,70
50790.1,31378,149,619.97,70
50961.1,31118.2,149.5,624.067,70
51132.2,30856,150,628.176,70
51303.2,30591.3,150.5,632.296,70
51474.2,30324.2,151,636.427,70
51645.2,30054.6,151.5,640.569,70
51816.2,29782.6,152,644.721,70
51987.2,29508.1,152.5,648.884,70
52158.2,29231.2,153,653.058,70
52329.2,28951.8,153.5,657.241,70
52500.2,28669.9,154,661.435,70
52671.3,28385.6,154.5,665.638,70
52842.3,28098.9,155,669.851,70
53013.3,27809.7,155.5,674.073,70
53184.3,27518,156,678.304,70
53355.3,27223.9,156.5,682.544,70
53526.3,26927.4,157,686.794,70
53697.3,26628.3,157.5,691.051,70
53868.3,26326.9,158,695.318,70
54039.3,26023,158.5,699.592,70
54210.3,25716.6,159,703.875,70
54381.4,25407.8,159.5,708.166,70
54552.4,25096.5,160,712.465,70
54723.4,24782.8,160.5,716.772,70
54894.4,24466.6,161,721.086,70
55065.4,24148,161.5,725.408,70
55236.4,23826.9,162,729.738,70
55407.4,23503.3,162.5,734.074,70
55578.4,23177.3,163,738.418,70
55749.4,22848.9,163.5,742.768,70
55920.5,22518,164,747.126,70
56091.5,22184.7,164.5,751.49,70
56262.5,21848.9,165,755.861,70
56433.5,21510.6,165.5,760.238,70
56604.5,21169.9,166,764.622,70
56775.5,20826.7,166.5,769.012,70
56946.5,20481.1,167,773.408,70
57117.5,20133.1,167.5,777.811,70
57288.5,19782.5,168,782.219,70
57459.5,19429.6,168.5,786.633,70
57630.6,19074.2,169,791.053,70
57801.6,18716.3,169.5,795.479,70
57972.6,18356,170,799.91,70
58143.6,17993.2,170.5,804.347,70
58314.6,17628,171,808.789,70
58485.6,17260.3,171.5,813.236,70
58656.6,16890.1,172,817.689,70
58827.6,16517.6,172.5,822.147,70
58998.6,16142.5,173,826.61,70
59169.7,15765,173.5,831.078,70
59340.7,15385.1,174,835.551,70
59511.7,15002.7,174.5,840.028,70
59682.7,14617.8,175,844.511,70
59853.7,14230.5,175.5,848.998,70
60024.7,13840.8,176,853.489,70
60195.7,13448.6,176.5,857.986,70
60366.7,13053.9,177,862.486,70
60537.7,12656.8,177.5,866.991,70
60708.7,12257.2,178,871.501,70
60879.8,11855.2,178.5,876.014,70
61050.8,11450.7,179,880.532,70
61221.8,11043.8,179.5,885.054,70
61392.8,10634.4,180,889.58,70
61563.8,10222.6,180.5,894.11,70
61734.8,9808.33,181,898.644,70
61905.8,9391.6,181.5,903.182,70
62076.8,8972.41,182,907.723,70
62247.8,8550.77,182.5,912.269,70
62418.9,8126.68,183,916.818,70
62589.9,7700.14,183.5,921.37,70
62760.9,7271.14,184,925.927,70
62931.9,6839.7,184.5,930.487,70
