x,y,t,v,angle,traj
665.349,290.199,11.7,65.6224,55,2
671.085,286.962,11.8,66.1045,55,2
676.821,283.627,11.9,66.5976,55,2
682.557,280.193,12,67.1015,55,2
688.293,276.662,12.1,67.6158,55,2
694.028,273.032,12.2,68.1403,55,2
699.764,269.305,12.3,68.6749,55,2
705.5,265.479,12.4,69.2192,55,2
711.236,261.555,12.5,69.7731,55,2
716.971,257.533,12.6,70.3363,55,2
722.707,253.413,12.7,70.9086,55,2
728.443,249.195,12.8,71.4898,55,2
734.179,244.879,12.9,72.0797,55,2
739.914,240.464,13,72.678,55,2
745.65,235.952,13.1,73.2845,55,2
751.386,231.342,13.2,73.8991,55,2
757.122,226.633,13.3,74.5216,55,2
762.858,221.826,13.4,75.1517,55,2
768.593,216.921,13.5,75.7892,55,2
774.329,211.918,13.6,76.434,55,2
780.065,206.817,13.7,77.0859,55,2
785.801,201.618,13.8,77.7448,55,2
791.536,196.321,13.9,78.4103,55,2
797.272,190.926,14,79.0825,55,2
803.008,185.432,14.1,79.761,55,2
808.744,179.841,14.2,80.4458,55,2
814.479,174.151,14.3,81.1367,55,2
820.215,168.363,14.4,81.8334,55,2
825.951,162.477,14.5,82.536,55,2
831.687,156.494,14.6,83.2442,55,2
837.423,150.412,14.7,83.9579,55,2
843.158,144.231,14.8,84.6769,55,2
848.894,137.953,14.9,85.4012,55,2
854.63,131.577,15,86.1305,55,2
860.366,125.102,15.1,86.8648,55,2
866.101,118.53,15.2,87.6039,55,2
871.837,111.859,15.3,88.3477,55,2
877.573,105.09,15.4,89.0962,55,2
883.309,98.2236,15.5,89.8491,55,2
889.045,91.2587,15.6,90.6063,55,2
894.78,84.1957,15.7,91.3678,55,2
900.516,77.0345,15.8,92.1335,55,2
906.252,69.7753,15.9,92.9032,55,2
911.988,62.418,16,93.6769,55,2
917.723,54.9625,16.1,94.4544,55,2
923.459,47.409,16.2,95.2357,55,2
929.195,39.7574,16.3,96.0206,55,2
934.931,32.0076,16.4,96.8091,55,2
940.666,24.1598,16.5,97.6012,55,2
946.402,16.2139,16.6,98.3966,55,2
952.138,8.16982,16.7,99.1953,55,2
957.874,0.0276873,16.8,99.9973,55,2
957.893,0,16.9,0,55,2
0,0,0,100,65,3
0,0,0.1,100,65,3
4.22619,9.01402,0.2,99.1118,65,3
8.45238,17.9299,0.3,98.2253,65,3
12.6786,26.7478,0.4,97.3407,65,3
16.9048,35.4675,0.5,96.4579,65,3
21.131,44.0891,0.6,95.577,65,3
25.3571,52.6126,0.7,94.6982,65,3
29.5833,61.0381,0.8,93.8213,65,3
33.8095,69.3654,0.9,92.9465,65,3
38.0357,77.5946,1,92.0738,65,3
42.2619,85.7257,1.1,91.2034,65,3
46.4881,93.7588,1.2,90.3352,65,3
50.7143,101.694,1.3,89.4694,65,3
54.9405,109.531,1.4,88.6059,65,3
59.1667,117.269,1.5,87.745,65,3
63.3929,124.91,1.6,86.8865,65,3
67.6191,132.452,1.7,86.0307,65,3
71.8453,139.897,1.8,85.1776,65,3
76.0714,147.243,1.9,84.3273,65,3
80.2976,154.491,2,83.4798,65,3
84.5238,161.641,2.1,82.6353,65,3
88.75,168.694,2.2,81.7938,65,3
92.9762,175.647,2.3,80.9555,65,3
97.2024,182.503,2.4,80.1204,65,3
101.429,189.261,2.5,79.2887,65,3
105.655,195.921,2.6,78.4604,65,3
109.881,202.482,2.7,77.6357,65,3
114.107,208.946,2.8,76.8146,65,3
118.333,215.311,2.9,75.9974,65,3
122.56,221.578,3,75.184,65,3
126.786,227.747,3.1,74.3747,65,3
131.012,233.818,3.2,73.5696,65,3
135.238,239.791,3.3,72.7688,65,3
139.464,245.666,3.4,71.9724,65,3
143.691,251.443,3.5,71.1807,65,3
147.917,257.121,3.6,70.3937,65,3
152.143,262.702,3.7,69.6117,65,3
156.369,268.184,3.8,68.8348,65,3
160.595,273.569,3.9,68.0631,65,3
164.821,278.855,4,67.2969,65,3
169.048,284.043,4.1,66.5363,65,3
173.274,289.133,4.2,65.7815,65,3
177.5,294.125,4.3,65.0328,65,3
181.726,299.019,4.4,64.2904,65,3
185.952,303.814,4.5,63.5544,65,3
190.179,308.512,4.6,62.8251,65,3
194.405,313.112,4.7,62.1027,65,3
198.631,317.613,4.8,61.3876,65,3
202.857,322.016,4.9,60.6798,65,3
207.083,326.322,5,59.9798,65,3
211.31,330.529,5.1,59.2877,65,3
215.536,334.638,5.2,58.6038,65,3
219.762,338.649,5.3,57.9285,65,3
223.988,342.561,5.4,57.2621,65,3
228.214,346.376,5.5,56.6048,65,3
232.441,350.093,5.6,55.9569,65,3
236.667,353.711,5.7,55.3189,65,3
240.893,357.232,5.8,54.6911,65,3
245.119,360.654,5.9,54.0737,65,3
249.345,363.978,6,53.4672,65,3
253.571,367.204,6.1,52.872,65,3
257.798,370.332,6.2,52.2884,65,3
262.024,373.362,6.3,51.7168,65,3
266.25,376.294,6.4,51.1577,65,3
270.476,379.128,6.5,50.6114,65,3
274.702,381.864,6.6,50.0783,65,3
278.929,384.501,6.7,49.5589,65,3
283.155,387.04,6.8,49.0537,65,3
287.381,389.482,6.9,48.563,65,3
291.607,391.825,7,48.0873,65,3
295.833,394.07,7.1,47.6271,65,3
300.06,396.217,7.2,47.1828,65,3
304.286,398.266,7.3,46.7549,65,3
308.512,400.217,7.4,46.3438,65,3
312.738,402.07,7.5,45.9499,65,3
316.964,403.824,7.6,45.5738,65,3
321.191,405.481,7.7,45.2158,65,3
325.417,407.039,7.8,44.8764,65,3
329.643,408.5,7.9,44.556,65,3
333.869,409.862,8,44.2551,65,3
338.095,411.126,8.1,43.974,65,3
342.321,412.292,8.2,43.7131,65,3
346.548,413.36,8.3,43.4727,65,3
350.774,414.33,8.4,43.2533,65,3
355,415.201,8.5,43.0552,65,3
359.226,415.975,8.6,42.8785,65,3
363.452,416.651,8.7,42.7237,65,3
367.679,417.228,8.8,42.5909,65,3
371.905,417.707,8.9,42.4804,65,3
376.131,418.089,9,42.3923,65,3
380.357,418.372,9.1,42.3267,65,3
384.583,418.557,9.2,42.2838,65,3
388.81,418.644,9.3,42.2636,65,3
