x,y,t,v,angle,id
699.982,89.8359,11.8,70.148,45,HEIGHT_DRAG
705.005,84.9396,11.9,70.6242,45,HEIGHT_DRAG
710.014,79.96,12,71.1044,45,HEIGHT_DRAG
715.007,74.8975,12.1,71.5882,45,HEIGHT_DRAG
719.984,69.7524,12.2,72.0755,45,HEIGHT_DRAG
724.946,64.5251,12.3,72.5661,45,HEIGHT_DRAG
729.893,59.2159,12.4,73.0597,45,HEIGHT_DRAG
734.825,53.8253,12.5,73.5561,45,HEIGHT_DRAG
739.74,48.3535,12.6,74.0552,45,HEIGHT_DRAG
744.641,42.801,12.7,74.5567,45,HEIGHT_DRAG
749.525,37.1682,12.8,75.0605,45,HEIGHT_DRAG
754.394,31.4554,12.9,75.5664,45,HEIGHT_DRAG
759.247,25.6631,13,76.0742,45,HEIGHT_DRAG
764.084,19.7915,13.1,76.5837,45,HEIGHT_DRAG
768.905,13.8412,13.2,77.0947,45,HEIGHT_DRAG
773.71,7.81249,13.3,77.6071,45,HEIGHT_DRAG
778.5,1.70578,13.4,78.1207,45,HEIGHT_DRAG
779.837,0,13.5,0,45,HEIGHT_DRAG
0,0,0,100,45,NO_DRAG
0,0,0.1,100,45,NO_DRAG
7.07107,7.02201,0.2,99.3088,45,NO_DRAG
14.1421,13.9459,0.3,98.6224,45,NO_DRAG
21.2132,20.7717,0.4,97.9411,45,NO_DRAG
28.2843,27.4995,0.5,97.2649,45,NO_DRAG
35.3554,34.1291,0.6,96.5939,45,NO_DRAG
42.4264,40.6606,0.7,95.9283,45,NO_DRAG
49.4975,47.094,0.8,95.2681,45,NO_DRAG
56.5686,53.4293,0.9,94.6135,45,NO_DRAG
63.6397,59.6665,1,93.9646,45,NO_DRAG
70.7107,65.8056,1.1,93.3215,45,NO_DRAG
77.7818,71.8466,1.2,92.6842,45,NO_DRAG
84.8529,77.7896,1.3,92.0531,45,NO_DRAG
91.9239,83.6344,1.4,91.4281,45,NO_DRAG
98.995,89.3811,1.5,90.8094,45,NO_DRAG
106.066,95.0297,1.6,90.1971,45,NO_DRAG
113.137,100.58,1.7,89.5914,45,NO_DRAG
120.208,106.033,1.8,88.9924,45,NO_DRAG
127.279,111.387,1.9,88.4002,45,NO_DRAG
134.35,116.643,2,87.8149,45,NO_DRAG
141.421,121.801,2.1,87.2368,45,NO_DRAG
148.493,126.861,2.2,86.6659,45,NO_DRAG
155.564,131.823,2.3,86.1024,45,NO_DRAG
162.635,136.687,2.4,85.5465,45,NO_DRAG
169.706,141.453,2.5,84.9982,45,NO_DRAG
176.777,146.12,2.6,84.4578,45,NO_DRAG
183.848,150.69,2.7,83.9254,45,NO_DRAG
190.919,155.161,2.8,83.4011,45,NO_DRAG
197.99,159.535,2.9,82.8851,45,NO_DRAG
205.061,163.81,3,82.3775,45,NO_DRAG
212.132,167.987,3.1,81.8786,45,NO_DRAG
219.203,172.066,3.2,81.3884,45,NO_DRAG
226.274,176.047,3.3,80.9071,45,NO_DRAG
233.345,179.93,3.4,80.4349,45,NO_DRAG
240.416,183.714,3.5,79.972,45,NO_DRAG
247.488,187.401,3.6,79.5185,45,NO_DRAG
254.559,190.989,3.7,79.0746,45,NO_DRAG
261.63,194.48,3.8,78.6403,45,NO_DRAG
268.701,197.872,3.9,78.216,45,NO_DRAG
275.772,201.166,4,77.8018,45,NO_DRAG
282.843,204.363,4.1,77.3977,45,NO_DRAG
289.914,207.461,4.2,77.0041,45,NO_DRAG
296.985,210.46,4.3,76.6209,45,NO_DRAG
304.056,213.362,4.4,76.2485,45,NO_DRAG
311.127,216.166,4.5,75.8869,45,NO_DRAG
318.198,218.872,4.6,75.5363,45,NO_DRAG
325.269,221.479,4.7,75.1969,45,NO_DRAG
332.34,223.989,4.8,74.8689,45,NO_DRAG
339.411,226.4,4.9,74.5522,45,NO_DRAG
346.483,228.713,5,74.2472,45,NO_DRAG
353.554,230.928,5.1,73.954,45,NO_DRAG
360.625,233.045,5.2,73.6726,45,NO_DRAG
367.696,235.064,5.3,73.4033,45,NO_DRAG
374.767,236.985,5.4,73.1461,45,NO_DRAG
381.838,238.808,5.5,72.9013,45,NO_DRAG
388.909,240.532,5.6,72.6688,45,NO_DRAG
395.98,242.159,5.7,72.4489,45,NO_DRAG
403.051,243.687,5.8,72.2417,45,NO_DRAG
410.122,245.117,5.9,72.0472,45,NO_DRAG
417.193,246.45,6,71.8656,45,NO_DRAG
424.264,247.684,6.1,71.6969,45,NO_DRAG
431.335,248.82,6.2,71.5413,45,NO_DRAG
438.406,249.858,6.3,71.3988,45,NO_DRAG
445.478,250.798,6.4,71.2696,45,NO_DRAG
452.549,251.639,6.5,71.1536,45,NO_DRAG
459.62,252.383,6.6,71.051,45,NO_DRAG
466.691,253.028,6.7,70.9618,45,NO_DRAG
